Day,Rain,ActiveMode,ActiveNorm,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,LocalCommute,CityCommute,DistantCommute,Subculture A,Subculture B,Subculture C,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
121,0,35384,8313,31912,4841,22860,12524,0,11863,10758,12763,1041,901,1164,944,2302,1842,3952,1406,956,1079,3187,4012,1238,2134,1406,2087,2694,1252,1151,636
122,0,35412,8354,31899,4841,22856,12556,0,11847,10755,12810,1041,901,1164,944,2302,1842,3952,1406,956,1079,3187,4012,1238,2134,1406,2075,2694,1252,1191,636
123,0,35420,8360,31916,4856,22889,12531,0,11845,10784,12791,1041,901,1164,944,2302,1842,3952,1406,956,1079,3186,4012,1238,2134,1406,2109,2694,1252,1166,636
126,0,35397,8349,31897,4849,22857,12540,0,11853,10764,12780,1041,901,1164,944,2302,1842,3952,1406,956,1079,3185,4012,1238,2134,1406,2074,2693,1252,1180,636
127,0,35364,8300,31898,4834,22866,12498,0,11829,10745,12790,1041,901,1164,944,2302,1842,3952,1406,956,1079,3185,4012,1238,2134,1406,2068,2693,1252,1153,636
128,1,31476,8320,28379,5223,19329,12147,0,10586,9583,11307,775,901,1068,901,2235,1168,3951,1040,762,1075,3083,4010,1238,870,1405,1573,2429,1252,1137,603
129,0,35397,5585,32971,3159,22872,12525,0,11846,10749,12802,1041,901,1163,941,2302,1847,3952,1406,957,1079,3185,4012,1238,2148,1406,2088,2695,1252,1149,635
130,0,35385,8330,31902,4847,22874,12511,0,11850,10762,12773,1041,901,1163,941,2302,1845,3952,1406,957,1079,3185,4012,1238,2137,1406,2093,2693,1252,1146,636
133,0,35387,8305,31919,4837,22867,12520,0,11852,10750,12785,1041,901,1163,940,2302,1845,3952,1406,957,1079,3185,4012,1238,2139,1406,2076,2693,1252,1164,636
134,0,35359,8344,31870,4855,22852,12507,0,11827,10761,12771,1041,901,1163,940,2302,1845,3952,1406,957,1079,3185,4012,1238,2139,1406,2078,2693,1252,1134,636
